Card Identifiers,,,,,Pre-requisites (Global Parameters),,,,,,,,.,Pre-requisites (Non-Global Parameters),,,,,,,,,,,,,Tags,,,,,,,,,,,,.,Production,,,,,,,Resource,,,,,,,,Terraforming Effect,,,,,,,Interactions,,,,,,Text,,,
Card Name,Card #,Cost,Card Type,Deck,Req: Temperature,Req: Oxygen,Req: Ocean,Req: Venus,Req: Max Temperature,Req: Max Oxygen,Req: Max Ocean,Req: Max Venus,Pre-requisites (Global),Req: Science,Req: Building,Req: Space,Req: Microbe,Req: Plant,Req: Animal,Req: City,Req: Earth,Req: Jovian,Req: Energy,Req: Venus,Req: Other,Pre-requisites (Non-Global),Tag: Science,Tag: Building,Tag: Space,Tag: Microbe,Tag: Plant,Tag: Animal,Tag: City,Tag: Earth,Tag: Jovian,Tag: Energy,Tag: Venus,Tag: Event,Tags,Prod: Megacredit,Prod: Steel,Prod: Titanium,Prod: Plant,Prod: Energy,Prod: Heat,Production,Inv: Megacredit,Inv: Steel,Inv: Titanium,Inv: Plant,Inv: Energy,Inv: Heat,Other (Resources on Cards),Resource,Temperature,Oxygen,Ocean,Venus,TR,VP,Terraforming Effect,Tile/Colony Placement,# Actions and/or Effect,Depends on opponents,Affects opponents,Holds Resources,Interactions,Action or On-going Effect text,One time Effect Text,Text,
Dawn City,220,15,Automated,Venus,-30,0,0,0,8,14,9,30,,4,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,1,0,0,0,0,0,,0,0,1,0,-1,0,,0,0,0,0,0,0,No,,0,0,0,0,0,3,,Ref,0,No,No,No,,,Requires 4 science tags. Decrease your energy production 1 step. Increase your titanium production 1 step. Place a city tile ON THE RESERVED AREA.,,
Decomposers,131,5,Active,Basic,-30,3,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,Ref,,0,0,0,0,0,Ref,,No,Eff,No,No,Microbes,,"Effect: When you play an animal, plant, or microbe tag, including this, add a microbe to this card.",Requires 3# oxygen. 1 VP per 3 microbes on this card.,,
Deep Well Heating,3,13,Automated,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,1,0,,0,0,0,0,0,0,No,,1,0,0,0,0,0,,No,0,No,No,No,,,Increase your energy production 1 step. Increase temperature 1 step.,,
Deimos Down,39,31,Event,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,,0,4,0,Ref,0,0,No,,3,0,0,0,0,0,,No,0,No,Ref,No,,,Raise temperature 3 steps and gain 4 steel. Remove up to 8 plants from any player.,,
Designed Microorganisms,155,16,Automated,Basic,-30,0,0,0,-14,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,1,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,2,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,It must be -14°C or colder. Increase your plant production 2 steps.,,
Deuterium Export,221,11,Active,Venus,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,0,1,1,0,,0,0,0,0,Ref,0,,0,0,0,0,0,0,Ref,,0,0,0,0,0,0,,No,2,No,No,Floaters,,"Action: Add 1 floater to this card, or spend 1 floater here to increase your energy production 1 step.",,,
Development Center,14,11,Active,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,Ref,0,Ref,,0,0,0,0,0,0,,No,1,No,No,No,,Action: Spend 1 energy to draw a card.,,,
Dirigibles,222,11,Active,Venus,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0,0,0,0,0,0,Ref,,0,0,0,0,0,0,,No,1 + Eff,No,No,Floaters,,"Action: Add 1 floater to ANY card. Effect: When playing a Venus tag, floaters here may be used as payment, and are worth 3 MC each",,,
Dome Farming,P07,,Prelude,Prelude,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,1,0,0,0,0,0,0,0,,2,0,0,1,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Increase your plant production 1 step. Increase your MC production 2 steps.,,
Domed Crater,16,24,Automated,Basic,-30,0,0,0,8,7,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,1,0,0,0,0,0,,3,0,0,0,-1,0,,0,0,0,3,0,0,No,,0,0,0,0,0,1,,Ref,0,No,No,No,,,Oxygen must be 7% or less. Gain 3 plants and place a city tile. Decrease your energy production 1 step and increase MC production 3 steps.,,
Donation,P08,,Prelude,Prelude,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,21,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Gain 21 MC.,,
Dust Seals,119,2,Automated,Basic,-30,0,0,0,8,14,3,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,1,,No,0,No,No,No,,,Requires 3 or less ocean tiles.,,
Early Settlement,P09,,Prelude,Prelude,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,1,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,Ref,0,No,No,No,,,Place a city tile. Increase your plant production 1 step.,,
Earth Catapult,70,23,Active,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,2,,No,Eff,No,No,No,,"Effect: when you play a card, you pay 2 MC less for it.",,,
Earth Elevator,C08,43,Automated,Colonies,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,1,0,0,0,0,,0,0,3,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,4,,No,0,No,No,No,,,Increase your titanium production 3 steps.,,
Earth Office,105,1,Active,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,Eff,No,No,No,,"Effect: When you play an Earth tag, you pay 3 MC less for it.",,,
Ecoline,,,Corporation,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,2,0,0,,36,0,0,3,0,0,No,,0,0,0,0,0,0,,No,Eff,No,No,No,,"Effect: You may always pay 7 plants, instead of 8, to place 1 greenery.","You start with 2 plant production, 3 plants, and 36 MC.",,
Ecological Zone,128,12,Active,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,Ref,,0,0,0,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,Ref,,0,0,0,0,0,Ref,,Ref,Eff,No,No,Animals,,"Effect: When you play an animal or a plant tag (including these 2), add an animal to this card.",Requires that you have a greenery tile. Place [the Ecological Zone] tile ADJACENT TO ANY GREENERY TILE. 1 VP per 2 animals on this card.,,
Ecology Experts,P10,,Prelude,Prelude,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,"Increase your plant production 1 step. Play a card from Hand, ignoring global requirements",,
Ecology Research,C09,21,Automated,Colonies,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,1,0,0,1,1,1,0,0,0,0,0,0,,0,0,0,Ref,0,0,,0,0,0,0,0,0,Ref,,0,0,0,0,0,1,,No,0,No,No,No,,,Increase your plant production 1 step for each colony you own. Add 1 animal to ANOTHER card and 2 microbes to ANOTHER card.,,
Electro Catapult,69,17,Active,Corporate,-30,0,0,0,8,8,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,0,,Ref,Ref,0,Ref,0,0,No,,0,0,0,0,0,1,,No,1,No,No,No,,Action: Spend 1 plant or 1 steel to gain 7 MC,Oxygen must be 8% or less. Decrease your energy production 1 step.,,
Energy Saving,189,15,Automated,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,Ref,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,Ref,No,No,,,Increase your energy production 1 step for each city tile in play.,,
Energy Tapping,201,3,Automated,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,Ref,0,,0,0,0,0,0,0,No,,0,0,0,0,0,-1,,No,0,No,Ref,No,,,Decrease any energy production 1 step and increase your own 1 step.,,
Eos Chasma National Park,26,16,Automated,Basic,-12,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,1,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,3,0,0,Ref,,0,0,0,0,0,1,,No,0,No,No,No,,,Requires -128°C  or warmer. Add 1 animal TO ANY ANIMAL CARD. Gain 3 plants. Increase your MC production 2 steps.,,
Equatorial Magnetizer,15,11,Active,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,Ref,0,,0,0,0,0,0,0,No,,0,0,0,0,Ref,0,,No,1,No,No,No,,Action: Decrease your energy production 1 step to increase your terraforming rating 1 step.,,,
Excentric Sponsor,P11,,Prelude,Prelude,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,"Play a card from hand, reducing its costs by 25 MC",,
Experimental Forest,P12,,Prelude,Prelude,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,1,0,0,0,0,,Ref,0,No,No,No,,,"Place a greenery tile and increase oxygen 1 step. Reveal cards from the deck until you have revealed 2 plant-tag cards. Take these into your hand, and discard the rest.",,
Extractor Balloons,223,21,Active,Venus,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0,0,0,0,0,0,Ref,,0,0,0,Ref,0,0,,No,2,No,No,Floaters,,"Action: Add 1 flaoter to this card, or remove 2 floaters here to raise Venus 1 step.",Add 3 floaters to this card.,,
Extreme-Cold Fungus,134,13,Active,Basic,-30,0,0,0,-10,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,Ref,0,0,Ref,,0,0,0,0,0,0,,No,2,No,No,No,,Action: Gain 1 plant or add 2 microbes to ANOTHER card.,It must be -10°C or colder.,,
Extremophiles,224,3,Active,Venus,-30,0,0,0,8,14,9,30,,2,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,1,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0,0,0,0,0,0,Ref,,0,0,0,0,0,Ref,,No,1,No,No,Microbes,,Action: Add 1 microbe to ANY card.,Requires 2 science tags. 1 VP for per 3 microbes on this card.,,
Farming,118,16,Automated,Basic,4,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,1,0,0,0,0,0,0,0,,2,0,0,2,0,0,,0,0,0,2,0,0,No,,0,0,0,0,0,2,,No,0,No,No,No,,,Requires +4°C or warmer. Increase your MC production 2 steps and your plant production 2 steps. Gain 2 plants.,,
Fish,52,9,Active,Basic,2,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,Ref,0,0,,0,0,0,0,0,0,Ref,,0,0,0,0,0,Ref,,No,1,No,Ref,Animals,,Action: Add 1 animal to this card.,Requires 2°C or warmer. Decrease any plant production 1 step. 1 VP for each animal on this card.,,
Floater Leasing,C10,3,Automated,Colonies,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,,Ref,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Increase your MC production 1 step per 3 floaters you have.,,
Floater Prototypes,C11,2,Event,Colonies,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,,0,0,0,0,0,0,Floaters,,0,0,0,0,0,0,,No,0,No,No,No,,,Add 2 floaters to ANOTHER card,,
Floater Technology,C12,7,Active,Colonies,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,Ref,,0,0,0,0,0,0,,No,1,No,No,No,,Action: Add 1 floater to ANOTHER card.,,,
Floating Habs,225,5,Active,Venus,-30,0,0,0,8,14,9,30,,2,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,Ref,0,0,0,0,0,Ref,,0,0,0,0,0,Ref,,No,1,No,No,Floaters,,Action: Spend 2 MC to add 1 floater to ANY card.,Requires 2 science tags. 1 VP per 2 floaters on this card.,,
Flooding,188,7,Event,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,,Ref,0,0,0,0,0,No,,0,0,1,0,0,-1,,Ref,0,No,Ref,No,,,"Place an ocean tile. IF THERE ARE TILES ADJACENT TO THIS OCEAN TILE, YOU MAY REMOVE 4 MC FROM THE OWNER OF ONE OF THOSE TILES.",,
Food Factory,41,12,Automated,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,0,0,0,0,,4,0,0,-1,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,1,,No,0,No,No,No,,,Decrease your plant production 1 step and increase your MC production 4 steps.,,
Forced Precipitation,226,8,Active,Venus,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,Ref,0,0,0,0,0,Ref,,0,0,0,Ref,0,0,,No,2,No,No,Floaters,,"Action: Spend 2 MC to add a floater to this card, or spend 2 floaters here to increase Venus 1 step.",,,
Freyja Biodomes,227,14,Automated,Venus,-30,0,0,10,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,1,0,0,0,0,0,1,0,,2,0,0,0,-1,0,,0,0,0,0,0,0,Ref,,0,0,0,0,0,2,,No,0,No,No,No,,,"Requires Venus 10%. Add 2 microbes or 2 animals TO ANOTHER VENUS CARD. Decrease your energy production 1 step, and increase your MC production by 2 steps.",,
Fuel Factory,180,6,Automated,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,-1,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Decreases your energy production 1 step and increase your titanium and your MC production 1 step each.,,
Fueled Generators,100,1,Automated,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,0,1,0,0,,-1,0,0,0,1,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Decrease your MC production 1 step and increase your energy production 1 step.,,
Fusion Power,132,14,Automated,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,2,0,No,,1,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,3,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Requires 2 power tags. Increase your energy production 3 steps.,,
Gaillean Waystation,C13,15,Automated,Colonies,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,0,0,0,0,,Ref,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,1,,No,0,Ref,No,No,,,Increase your MC production 1 step for every Jovian tags in play.,,
Galilean Mining,P13,,Prelude,Prelude,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,2,0,0,0,,-5,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Increase your titanium production 2 steps. Remove 5 MC.,,
Ganymede Colony,81,20,Automated,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,Ref,,Ref,0,No,No,No,,,Place a city tile ON THE RESERVED AREA [for Ganymede Colony]. 1 VP per Jovian tag you have.,,
Gene Repair,91,12,Automated,Corporate,-30,0,0,0,8,14,9,30,,3,0,0,0,0,0,0,0,0,0,0,No,,1,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,2,,No,0,No,No,No,,,Requires 3 science tags. Increase your MC production 2 steps.,,
Geothermal Power,117,11,Automated,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,2,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Increase your energy production 2 steps.,,
GHG Factories,126,11,Automated,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,4,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Decrease your energy production 1 step and increase your heat production 4 steps.,,
GHG Import from Venus,228,23,Event,Venus,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,3,,0,0,0,0,0,0,No,,0,0,0,1,0,0,,No,0,No,No,No,,,Raise Venus 1 step. Increase your heat production 3 steps.,,
GHG Producing Bacteria,34,8,Active,Basic,-30,4,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,1,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,Ref,,Ref,0,0,0,0,0,,No,2,No,No,Microbes,,"Action: Add 1 microbe to this card, or remove 2 microbes to raise temperature 1 step.",Requires 4% oxygen.,,
Giant Ice Asteroid,80,36,Event,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,,0,0,0,Ref,0,0,No,,2,0,2,0,0,0,,Ref,0,No,Ref,No,,,Raise temperature 2 steps and place 2 ocean tiles. Remove up to 6 plants from any plyer.,,
Giant Solar Shade,229,27,Automated,Venus,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,3,0,0,,No,0,No,No,No,,,Raise Venus 3 steps.,,
Giant Space Mirror,83,17,Automated,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,0,1,0,0,,0,0,0,0,3,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Increase your energy production 3 steps.,,
Grass,87,11,Automated,Basic,-16,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,,0,0,0,3,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Requires -16°C or warmer. Increase your plant production 1 step. Gain 3 plants.,,
Great Aquifer,P14,,Prelude,Prelude,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,2,0,0,0,,No,0,No,No,No,,,Place 2 ocean tiles.,,
Great Dam,136,12,Automated,Basic,-30,0,4,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,2,0,,0,0,0,0,0,0,No,,0,0,0,0,0,1,,No,0,No,No,No,,,Requires 4 ocean tiles. Increase your energy production 2 steps.,,
Great Escarpment Consortium,61,6,Automated,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,Ref,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Ref,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Requires that you have steel production. Decrease any steel production 1 step and increase your own 1 step,,
Greenhouses,96,6,Automated,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,Ref,0,0,No,,0,0,0,0,0,0,,No,0,Ref,No,No,,,Gain 1 plant for each city tile in play.,,
Gyropolis,230,20,Automated,Venus,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,1,0,0,0,0,0,,Ref,0,0,0,-2,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,Ref,0,No,No,No,,,Decrease your energy production 2 steps. Increase your MC production 1  step for each Venus and Earth tag you have. Place a city tile.,,
Hackers,125,3,Automated,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,,Ref,0,0,0,-1,0,,0,0,0,0,0,0,No,,0,0,0,0,0,-1,,No,0,No,Ref,No,,,Decrease your energy production 1 step and any MC production 2 steps. Increase your MC production 2 steps.,,
Heat Trappers,178,6,Automated,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,1,0,,0,0,0,0,0,Ref,No,,0,0,0,0,0,-1,,No,0,No,Ref,No,,,Decrease any heat production 2 steps and increase your energy production 1 step.,,
Heather,88,6,Automated,Basic,-14,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,,0,0,0,1,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Requires -14°C or warmer. Increase your plant production 1 step. Gain 1 plant.,,
Heavy Taxation,C14,3,Automated,Colonies,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,2,0,0,0,No,,0,0,0,0,0,0,0,1,0,0,0,0,,2,0,0,0,0,0,,4,0,0,0,0,0,No,,0,0,0,0,0,-1,,No,0,No,No,No,,,"Requires 2 Earth tags. Increase your MC production 2 steps, and gain 4 MC.",,
Helion,,,Corporation,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,,42,0,0,0,0,0,No,,0,0,0,0,0,0,,No,Eff,No,No,No,,Effect: You may use heat as MC. You may not use MC as heat.,You start with 3 heat production and 42 MC.,,
Herbivores,147,12,Active,Basic,-30,8,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,Ref,0,0,,0,0,0,0,0,0,Ref,,0,0,0,0,0,Ref,,No,Eff,Ref,No,Animals,,"Effect: When you place a greenery tile, add an animal to this card.",Requires 8% oxygen. Add 1 animal to this card. Decrease any plant production 1 step. 1 VP per 2 animals on this card.,,
Hired Raiders,124,1,Event,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,,Ref,Ref,0,0,0,0,No,,0,0,0,0,0,0,,No,0,Ref,Ref,No,,,"Steal up to 2 steel, or 3MC from any player.",,
House Printing,P36,10,Automated,Prelude,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,1,,No,0,No,No,No,,,Increase your steel production 1 step.,,
Huge Asteroid,P15,,Prelude,Prelude,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,-5,0,0,0,0,0,No,,3,0,0,0,0,0,,No,0,No,No,No,,,Raise temperature 3 steps. Remove 5 MC.,,
Hydrogen to Venus,231,11,Event,Venus,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,,0,0,0,0,0,0,Floaters,,0,0,0,1,0,0,,No,0,No,No,No,,,Raise Venus 1 step. Add 1 floater to A VENUS CARD for each Jovian tag you have.,,
Ice Asteroid,78,23,Event,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,2,0,0,0,,Ref,0,No,No,No,,,Place 2 ocean tiles.,,
Ice cap Melting,181,5,Event,Basic,2,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,1,0,0,0,,Ref,0,No,No,No,,,Requires +2°C or warmer. Place 1 ocean tile.,,
Ice Moon Colony,C15,23,Automated,Colonies,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,1,0,0,0,,Ref,0,No,No,No,,,Place 1 colony and 1 ocean tile.,,
